timestamp,story_id,token_count,reason
2026-01-02T23:26:15.589627,1948_12_06,2765,Exceeds token limit
2026-01-02T23:26:15.834840,1948_12_07,741,Exceeds token limit
2026-01-02T23:26:15.948035,1948_12_08,1362,Exceeds token limit
2026-01-02T23:26:15.961510,1948_12_09,1571,Exceeds token limit
2026-01-02T23:26:15.983927,1948_12_11,981,Exceeds token limit
2026-01-02T23:26:17.301401,1949_01_03,1395,Exceeds token limit
2026-01-02T23:26:17.425516,1949_01_04,3267,Exceeds token limit
2026-01-02T23:26:17.456905,1949_01_05,1481,Exceeds token limit
2026-01-02T23:26:17.497399,1949_01_06,1552,Exceeds token limit
2026-01-02T23:26:17.552837,1949_01_07,2758,Exceeds token limit
2026-01-02T23:26:17.569723,1949_01_08,2373,Exceeds token limit
2026-01-02T23:26:17.596723,1949_01_09,833,Exceeds token limit
2026-01-02T23:26:23.816481,1949_02_02,530,Exceeds token limit
2026-01-02T23:26:23.920375,1949_02_03,1303,Exceeds token limit
2026-01-02T23:26:24.006284,1949_02_04,2512,Exceeds token limit
2026-01-02T23:26:24.020854,1949_02_05,1547,Exceeds token limit
2026-01-02T23:26:24.032919,1949_02_06,1503,Exceeds token limit
2026-01-02T23:26:24.047234,1949_02_07,2079,Exceeds token limit
2026-01-02T23:26:24.059413,1949_02_08,2416,Exceeds token limit
2026-01-02T23:26:24.063287,1949_02_09,718,Exceeds token limit
2026-01-02T23:26:24.071518,1949_02_10,1224,Exceeds token limit
2026-01-02T23:26:29.536004,1949_03_04,1191,Exceeds token limit
2026-01-02T23:26:29.563195,1949_03_05,3350,Exceeds token limit
2026-01-02T23:26:29.571421,1949_03_06,2240,Exceeds token limit
2026-01-02T23:26:29.581046,1949_03_07,1323,Exceeds token limit
2026-01-02T23:26:29.596053,1949_03_08,1213,Exceeds token limit
2026-01-02T23:26:29.636244,1949_03_09,2297,Exceeds token limit
2026-01-02T23:26:29.769322,1949_03_10,2937,Exceeds token limit
2026-01-02T23:26:29.782122,1949_03_11,831,Exceeds token limit
2026-01-02T23:26:29.790210,1949_03_12,795,Exceeds token limit
2026-01-02T23:26:31.162141,1949_04_03,1492,Exceeds token limit
2026-01-02T23:26:31.307600,1949_04_04,2472,Exceeds token limit
2026-01-02T23:26:31.367657,1949_04_05,1223,Exceeds token limit
2026-01-02T23:26:31.419063,1949_04_06,1687,Exceeds token limit
2026-01-02T23:26:31.503308,1949_04_07,2531,Exceeds token limit
2026-01-02T23:26:31.548096,1949_04_08,1431,Exceeds token limit
2026-01-02T23:26:31.571566,1949_04_09,2210,Exceeds token limit
2026-01-02T23:26:39.427349,1949_05_04,1732,Exceeds token limit
2026-01-02T23:26:39.480349,1949_05_05,3616,Exceeds token limit
2026-01-02T23:26:39.587926,1949_05_06,1839,Exceeds token limit
2026-01-02T23:26:39.607781,1949_05_07,1727,Exceeds token limit
2026-01-02T23:26:39.635032,1949_05_08,3143,Exceeds token limit
2026-01-02T23:26:39.656252,1949_05_09,1908,Exceeds token limit
2026-01-02T23:26:39.665467,1949_05_10,1232,Exceeds token limit
2026-01-02T23:26:43.643991,1949_06_05,1596,Exceeds token limit
2026-01-02T23:26:43.697464,1949_06_06,2630,Exceeds token limit
2026-01-02T23:26:43.720128,1949_06_07,1220,Exceeds token limit
2026-01-02T23:26:43.746316,1949_06_08,2069,Exceeds token limit
2026-01-02T23:26:43.799904,1949_06_09,3417,Exceeds token limit
2026-01-02T23:26:43.843296,1949_06_10,2113,Exceeds token limit
2026-01-02T23:26:43.857982,1949_06_11,1125,Exceeds token limit
2026-01-02T23:26:44.065424,1949_06_14,634,Exceeds token limit
2026-01-02T23:26:45.147980,1949_07_04,863,Exceeds token limit
2026-01-02T23:26:45.156043,1949_07_05,946,Exceeds token limit
2026-01-02T23:26:45.175413,1949_07_06,2728,Exceeds token limit
2026-01-02T23:26:45.185154,1949_07_07,1298,Exceeds token limit
2026-01-02T23:26:45.201384,1949_07_08,1962,Exceeds token limit
2026-01-02T23:26:45.217948,1949_07_09,3272,Exceeds token limit
2026-01-02T23:26:45.231171,1949_07_10,2640,Exceeds token limit
2026-01-02T23:26:45.236549,1949_07_11,810,Exceeds token limit
2026-01-02T23:26:45.277529,1949_07_14,531,Exceeds token limit
2026-01-02T23:26:47.240394,1949_08_04,1700,Exceeds token limit
2026-01-02T23:26:47.723854,1949_08_05,2905,Exceeds token limit
2026-01-02T23:26:47.735796,1949_08_06,1578,Exceeds token limit
2026-01-02T23:26:47.757259,1949_08_07,1467,Exceeds token limit
2026-01-02T23:26:47.777665,1949_08_08,2310,Exceeds token limit
2026-01-02T23:26:47.783336,1949_08_09,836,Exceeds token limit
2026-01-02T23:26:47.806956,1949_08_10,2910,Exceeds token limit
2026-01-02T23:26:47.842192,1949_08_12,577,Exceeds token limit
2026-01-02T23:26:49.262762,1949_09_03,2298,Exceeds token limit
2026-01-02T23:26:49.575207,1949_09_04,3989,Exceeds token limit
2026-01-02T23:26:49.657349,1949_09_05,2681,Exceeds token limit
2026-01-02T23:26:49.710023,1949_09_06,1801,Exceeds token limit
2026-01-02T23:26:49.795923,1949_09_07,3863,Exceeds token limit
2026-01-02T23:26:49.845662,1949_09_08,1662,Exceeds token limit
2026-01-02T23:26:49.894788,1949_09_10,805,Exceeds token limit
2026-01-02T23:26:51.813644,1949_10_03,2110,Exceeds token limit
2026-01-02T23:26:52.174454,1949_10_04,3745,Exceeds token limit
2026-01-02T23:26:52.210795,1949_10_05,1745,Exceeds token limit
2026-01-02T23:26:52.274550,1949_10_06,1779,Exceeds token limit
2026-01-02T23:26:52.377557,1949_10_07,3921,Exceeds token limit
2026-01-02T23:26:52.530382,1949_10_08,3974,Exceeds token limit
2026-01-02T23:26:52.610699,1949_10_09,926,Exceeds token limit
2026-01-02T23:26:52.630847,1949_10_11,894,Exceeds token limit
2026-01-02T23:26:53.863049,1949_11_04,2006,Exceeds token limit
2026-01-02T23:26:53.893939,1949_11_05,3680,Exceeds token limit
2026-01-02T23:26:53.901465,1949_11_06,1353,Exceeds token limit
2026-01-02T23:26:53.914714,1949_11_07,1929,Exceeds token limit
2026-01-02T23:26:53.931037,1949_11_08,2436,Exceeds token limit
2026-01-02T23:26:53.940128,1949_11_09,1650,Exceeds token limit
2026-01-02T23:26:53.969734,1949_11_10,2355,Exceeds token limit
2026-01-02T23:26:54.005919,1949_11_12,920,Exceeds token limit
2026-01-02T23:26:55.293473,1949_12_03,2517,Exceeds token limit
2026-01-02T23:26:55.344505,1949_12_04,3084,Exceeds token limit
2026-01-02T23:26:55.372625,1949_12_05,2033,Exceeds token limit
2026-01-02T23:26:55.403637,1949_12_06,3066,Exceeds token limit
2026-01-02T23:26:55.413472,1949_12_07,1507,Exceeds token limit
2026-01-02T23:26:55.431295,1949_12_08,2532,Exceeds token limit
2026-01-02T23:26:55.461018,1949_12_09,3561,Exceeds token limit
2026-01-02T23:26:55.475848,1949_12_11,1126,Exceeds token limit
2026-01-02T23:26:57.223500,1950_01_03,2591,Exceeds token limit
2026-01-02T23:26:57.363856,1950_01_04,3719,Exceeds token limit
2026-01-02T23:26:57.386956,1950_01_05,1173,Exceeds token limit
2026-01-02T23:26:57.409764,1950_01_06,2036,Exceeds token limit
2026-01-02T23:26:57.421090,1950_01_07,1817,Exceeds token limit
2026-01-02T23:26:57.446783,1950_01_08,1972,Exceeds token limit
2026-01-02T23:26:57.472210,1950_01_09,3083,Exceeds token limit
2026-01-02T23:26:57.481296,1950_01_10,877,Exceeds token limit
2026-01-02T23:26:57.496727,1950_01_12,804,Exceeds token limit
2026-01-02T23:26:58.255214,1950_02_03,2154,Exceeds token limit
2026-01-02T23:26:58.271576,1950_02_04,3432,Exceeds token limit
2026-01-02T23:26:58.280068,1950_02_05,1864,Exceeds token limit
2026-01-02T23:26:58.285971,1950_02_06,1121,Exceeds token limit
2026-01-02T23:26:58.297213,1950_02_07,1680,Exceeds token limit
2026-01-02T23:26:58.303697,1950_02_08,1751,Exceeds token limit
2026-01-02T23:26:58.312967,1950_02_09,2488,Exceeds token limit
2026-01-02T23:26:58.323368,1950_02_15,781,Exceeds token limit
2026-01-02T23:26:59.073586,1950_03_04,2390,Exceeds token limit
2026-01-02T23:26:59.093288,1950_03_05,3474,Exceeds token limit
2026-01-02T23:26:59.103869,1950_03_06,1520,Exceeds token limit
2026-01-02T23:26:59.129393,1950_03_07,2228,Exceeds token limit
2026-01-02T23:26:59.144758,1950_03_08,2591,Exceeds token limit
2026-01-02T23:26:59.154289,1950_03_09,1767,Exceeds token limit
2026-01-02T23:26:59.165373,1950_03_10,2497,Exceeds token limit
2026-01-02T23:26:59.506169,1950_04_01,3910,Exceeds token limit
2026-01-02T23:26:59.524976,1950_04_04,2224,Exceeds token limit
2026-01-02T23:26:59.547001,1950_04_05,3206,Exceeds token limit
2026-01-02T23:26:59.556586,1950_04_06,1692,Exceeds token limit
2026-01-02T23:26:59.567476,1950_04_07,1752,Exceeds token limit
2026-01-02T23:26:59.586221,1950_04_08,3494,Exceeds token limit
2026-01-02T23:26:59.605344,1950_04_09,2860,Exceeds token limit
2026-01-02T23:26:59.609195,1950_04_10,987,Exceeds token limit
2026-01-02T23:26:59.617761,1950_04_12,820,Exceeds token limit
2026-01-02T23:26:59.990788,1950_05_03,2514,Exceeds token limit
2026-01-02T23:27:00.011021,1950_05_04,4063,Exceeds token limit
2026-01-02T23:27:00.038786,1950_05_05,1431,Exceeds token limit
2026-01-02T23:27:00.069142,1950_05_06,2033,Exceeds token limit
2026-01-02T23:27:00.088196,1950_05_07,2730,Exceeds token limit
2026-01-02T23:27:00.109129,1950_05_08,1851,Exceeds token limit
2026-01-02T23:27:00.147084,1950_05_09,2970,Exceeds token limit
2026-01-02T23:27:00.170706,1950_05_11,593,Exceeds token limit
2026-01-02T23:27:00.555617,1950_06_04,1714,Exceeds token limit
2026-01-02T23:27:00.576779,1950_06_05,3255,Exceeds token limit
2026-01-02T23:27:00.585714,1950_06_06,1253,Exceeds token limit
2026-01-02T23:27:00.600968,1950_06_07,2185,Exceeds token limit
2026-01-02T23:27:00.610499,1950_06_08,1693,Exceeds token limit
2026-01-02T23:27:00.613835,1950_06_09,1042,Exceeds token limit
2026-01-02T23:27:00.628706,1950_06_10,1577,Exceeds token limit
2026-01-02T23:27:00.651576,1950_06_11,1732,Exceeds token limit
2026-01-02T23:27:00.656276,1950_06_12,799,Exceeds token limit
2026-01-02T23:27:05.016425,1950_07_04,1657,Exceeds token limit
2026-01-02T23:27:05.045402,1950_07_05,2605,Exceeds token limit
2026-01-02T23:27:05.058324,1950_07_06,1306,Exceeds token limit
2026-01-02T23:27:05.075253,1950_07_07,2154,Exceeds token limit
2026-01-02T23:27:05.083839,1950_07_08,1502,Exceeds token limit
2026-01-02T23:27:05.105500,1950_07_09,2669,Exceeds token limit
2026-01-02T23:27:05.113461,1950_07_10,1746,Exceeds token limit
2026-01-02T23:27:05.117581,1950_07_11,913,Exceeds token limit
2026-01-02T23:27:05.121183,1950_07_13,540,Exceeds token limit
2026-01-02T23:27:06.184596,1950_11_04,1757,Exceeds token limit
2026-01-02T23:27:06.201932,1950_11_05,2907,Exceeds token limit
2026-01-02T23:27:06.209058,1950_11_06,1715,Exceeds token limit
2026-01-02T23:27:06.215656,1950_11_07,1751,Exceeds token limit
2026-01-02T23:27:06.234883,1950_11_08,2623,Exceeds token limit
2026-01-02T23:27:06.241530,1950_11_09,1227,Exceeds token limit
2026-01-02T23:27:06.250691,1950_11_10,2257,Exceeds token limit
2026-01-02T23:27:06.257357,1950_11_11,832,Exceeds token limit
2026-01-02T23:27:06.263921,1950_11_13,627,Exceeds token limit
2026-01-02T23:27:06.267645,1950_11_15,545,Exceeds token limit
2026-01-02T23:27:06.926913,1950_12_04,1809,Exceeds token limit
2026-01-02T23:27:06.955084,1950_12_05,3756,Exceeds token limit
2026-01-02T23:27:06.972343,1950_12_06,1798,Exceeds token limit
2026-01-02T23:27:06.991832,1950_12_07,1692,Exceeds token limit
2026-01-02T23:27:07.016934,1950_12_08,2741,Exceeds token limit
2026-01-02T23:27:07.026081,1950_12_09,1403,Exceeds token limit
2026-01-02T23:27:07.060157,1950_12_10,2401,Exceeds token limit
2026-01-02T23:27:07.072701,1950_12_11,891,Exceeds token limit
2026-01-02T23:27:07.852929,1951_01_04,1796,Exceeds token limit
